time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002689,0.1918,0.053,-0.5806,0.614
0.003017,0.1355,0.0171,-0.5235,0.541
0.024907,0.0232,0.0299,-0.5101,0.512
0.025399,-0.0646,-0.0373,-0.4928,0.498
0.025582,-0.1711,-0.0653,-0.4667,0.501
0.025723,-0.268,-0.1018,-0.4416,0.527
0.025857,-0.2939,-0.1045,-0.3556,0.473
0.029003,-0.3109,-0.1071,-0.2089,0.39
0.033737,-0.3193,-0.1148,-0.0444,0.342
0.038932,-0.3381,-0.1088,0.1948,0.405
0.043354,-0.3583,-0.0472,0.5463,0.655
0.048245,-0.3225,0.0218,0.8862,0.943
0.052808,-0.2636,0.0312,1.0634,1.096
0.063767,-0.2098,0.0052,1.122,1.141
0.064292,-0.1701,0.0013,1.082,1.095
0.06774,-0.1772,0.01,0.9679,0.984
0.071908,-0.1925,0.0838,0.8419,0.868
0.078025,-0.2827,0.156,0.661,0.736
0.083563,-0.3521,0.2508,0.4395,0.616
0.086087,-0.4013,0.3019,0.2108,0.545
0.090672,-0.3452,0.324,0.0365,0.475
0.095577,-0.2796,0.3269,-0.1269,0.449
0.100529,-0.186,0.3206,-0.2842,0.467
0.122609,-0.1269,0.3572,-0.3598,0.523
0.12297,-0.1262,0.408,-0.4733,0.638
0.123107,-0.1315,0.4303,-0.5533,0.713
0.12323,-0.1478,0.4386,-0.6476,0.796
0.124976,-0.0607,0.3951,-0.7609,0.86
0.128682,0.053,0.3194,-0.7981,0.861
0.133224,0.1509,0.2592,-0.8736,0.924
0.138205,0.2093,0.2669,-0.94,0.999
0.143323,0.1667,0.2754,-0.9687,1.021
0.147736,0.152,0.2992,-1.0363,1.089
0.15233,0.1556,0.305,-1.0665,1.12
0.156774,0.1873,0.2455,-1.05,1.094
0.164355,0.2848,0.1924,-0.9965,1.054
0.166783,0.3293,0.1312,-0.9015,0.969
0.171188,0.3448,0.1188,-0.7415,0.826
0.181816,0.3313,0.1547,-0.5835,0.689
0.18222,0.2934,0.1577,-0.4274,0.542
0.185538,0.2552,0.1801,-0.2683,0.412
0.19008,0.2739,0.1739,-0.0918,0.337
0.194623,0.2927,0.1582,0.0645,0.339
0.199969,0.2878,0.1613,0.2341,0.405
0.204565,0.3115,0.2163,0.3598,0.523
0.209529,0.2403,0.2231,0.4848,0.585
0.214338,0.1561,0.2816,0.5903,0.672
0.218568,0.0873,0.3059,0.6575,0.73
0.22361,0.058,0.282,0.7248,0.78
0.228875,0.092,0.2577,0.745,0.794
0.232631,0.1033,0.2613,0.8228,0.869
0.238321,0.1206,0.2595,0.8772,0.923
0.242477,0.1007,0.3139,0.8702,0.931
0.248097,0.0439,0.3102,0.8213,0.879
0.252175,0.0405,0.2917,0.7165,0.775
0.256688,0.0614,0.2491,0.6274,0.678
0.261271,0.2632,0.0787,0.4396,0.518
0.265951,0.3129,0.0806,0.2584,0.414
0.270508,0.1733,0.1677,0.2311,0.334
0.275015,-0.0454,0.2584,0.1853,0.321
0.281053,-0.1583,0.3195,0.1307,0.38
0.285701,-0.2,0.2374,0.0622,0.317
0.293338,-0.1521,0.1461,-0.0009,0.211
0.294676,-0.0719,0.0741,-0.0871,0.135
0.299075,0.0024,0.0026,-0.1679,0.168
0.303705,-0.0196,0.0739,-0.2339,0.246
0.308568,-0.0707,0.1921,-0.3375,0.395
0.313384,-0.1747,0.2526,-0.4218,0.522
0.317988,-0.1932,0.237,-0.4916,0.579
0.3233,-0.1125,0.1461,-0.5423,0.573
0.327704,0.0291,0.0898,-0.5646,0.572
0.332338,0.0794,0.1388,-0.5822,0.604
0.337381,0.039,0.1735,-0.4957,0.527
0.342646,0.0034,0.1989,-0.4149,0.46
0.346688,-0.0277,0.2195,-0.3303,0.398
0.351499,0.0171,0.1974,-0.2371,0.309
0.355971,0.0712,0.1755,-0.1875,0.266
0.36037,0.1491,0.1348,-0.138,0.244
0.36568,0.1367,0.1562,-0.0604,0.216
0.372328,0.0963,0.1772,0.0358,0.205
0.375219,0.0517,0.2215,0.084,0.242
0.379945,0.0217,0.2131,0.1177,0.244
0.385038,0.1202,0.1338,0.0276,0.182
0.392907,0.0905,0.1643,-0.0236,0.189
0.3941,0.0475,0.1946,0.016,0.201
0.398579,-0.0232,0.2767,0.0554,0.283
0.403587,-0.0933,0.3389,0.1611,0.387
0.408348,-0.1204,0.3669,0.2282,0.449
0.413006,-0.0715,0.2518,0.2619,0.37
0.417819,0.0479,0.1799,0.2053,0.277
0.422398,0.1524,0.118,0.1162,0.225
0.427311,0.1804,0.1276,0.0374,0.224
0.432239,0.061,0.1702,0.045,0.186
0.436636,-0.0673,0.2311,0.0241,0.242
0.441588,-0.0764,0.22,-0.0156,0.233
0.446136,0.0185,0.1377,-0.0882,0.165
0.451667,0.1268,0.0753,-0.241,0.283
0.455744,0.1679,0.0564,-0.35,0.392
0.460134,0.109,0.0571,-0.4299,0.447
0.465103,0.0076,0.1434,-0.4145,0.439
0.470893,-0.0793,0.1675,-0.3947,0.436
0.474279,-0.0096,0.1251,-0.3848,0.405
0.4857,0.0685,0.0786,-0.4371,0.449
0.486321,0.155,0.0518,-0.456,0.484
0.488682,0.1552,0.0541,-0.4845,0.512
0.493681,0.093,0.161,-0.404,0.445
0.498179,0.0307,0.2101,-0.3148,0.38
0.502834,0.0488,0.1733,-0.2408,0.301
0.507643,0.2324,0.0184,-0.2388,0.334
0.512235,0.2439,0.0974,-0.1656,0.31
0.516837,0.1131,0.147,-0.0453,0.191
0.522297,0.0262,0.2196,0.0125,0.222
0.526641,-0.0552,0.2247,0.075,0.243
0.531637,-0.0744,0.2009,0.1182,0.245
0.536316,0.0108,0.139,0.1233,0.186
0.540751,0.1099,0.1105,0.0859,0.178
0.545831,0.1709,0.125,0.0395,0.215
0.550797,0.118,0.1772,-0.0015,0.213
0.554662,0.0563,0.21,-0.0422,0.221
0.55923,0.0523,0.2046,-0.0587,0.219
0.564576,0.1433,0.1471,-0.113,0.234
0.569346,0.2718,0.1093,-0.1908,0.35
0.574363,0.3283,0.1102,-0.2823,0.447
0.581055,0.3227,0.1588,-0.3021,0.47
0.583763,0.2553,0.2405,-0.3171,0.473
0.588026,0.2069,0.2456,-0.3085,0.445
0.592581,0.2579,0.1798,-0.3856,0.498
0.597639,0.3313,0.1102,-0.4911,0.603
0.602456,0.3799,0.1367,-0.5819,0.708
0.607264,0.347,0.1778,-0.663,0.769
0.612021,0.2474,0.2429,-0.6917,0.774
0.616922,0.2386,0.2181,-0.6829,0.756
0.621419,0.3487,0.1425,-0.7269,0.819
0.626169,0.2451,0.1918,-0.6762,0.744
0.630599,0.1855,0.2462,-0.5931,0.668
0.635121,0.146,0.2865,-0.5204,0.612
0.640366,0.1546,0.2703,-0.4202,0.523
0.645292,0.3061,0.1507,-0.4021,0.527
0.651153,0.2436,0.1985,-0.2939,0.43
0.654568,0.1538,0.2271,-0.2057,0.343
0.659173,0.1079,0.2651,-0.1512,0.324
0.664038,0.034,0.2647,-0.1542,0.308
0.668616,0.06,0.1886,-0.2284,0.302
0.673611,0.0615,0.1608,-0.269,0.319
0.67852,-0.0466,0.1427,-0.2999,0.335
0.683024,-0.0919,0.1721,-0.2829,0.344
0.693006,-0.1989,0.2627,-0.2422,0.409
0.693655,-0.2354,0.3142,-0.2018,0.441
0.697093,-0.2165,0.2843,-0.2379,0.429
0.701995,-0.1992,0.2024,-0.3307,0.436
0.706727,-0.0269,0.0791,-0.5611,0.567
0.711256,-0.0607,0.0903,-0.6809,0.69
